"V160001","V161126","V161196","V161342","V162034a","V162148"
300235,"5. Slightly conservative","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300242,"4. Moderate, middle of the road","1. Favor","2. Female","2. Donald Trump","2. Oppose"
300244,"5. Slightly conservative","2. Oppose","1. Male","2. Donald Trump","3. Neither favor nor oppose"
300246,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
300248,"4. Moderate, middle of the road","1. Favor","2. Female","2. Donald Trump","2. Oppose"
300250,"4. Moderate, middle of the road","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
300252,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","1. Male","1. Hillary Clinton","2. Oppose"
300255,"4. Moderate, middle of the road","1. Favor","2. Female","2. Donald Trump","1. Favor"
300256,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","2. Donald Trump","2. Oppose"
300261,"4. Moderate, middle of the road","3. Neither favor nor oppose","2. Female","3. Gary Johnson","1. Favor"
300270,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
300273,"6. Conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
300276,"4. Moderate, middle of the road","3. Neither favor nor oppose","1. Male","3. Gary Johnson","3. Neither favor nor oppose"
300278,"5. Slightly conservative","1. Favor","2. Female","2. Donald Trump","1. Favor"
300279,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","1. Male","1. Hillary Clinton","1. Favor"
300284,"4. Moderate, middle of the road","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
300289,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300297,"4. Moderate, middle of the road","3. Neither favor nor oppose","1. Male","1. Hillary Clinton","1. Favor"
300299,"1. Extremely liberal","2. Oppose","2. Female","3. Gary Johnson","1. Favor"
300307,"5. Slightly conservative","2. Oppose","2. Female","2. Donald Trump","1. Favor"
300312,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
300322,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","2. Donald Trump","1. Favor"
300326,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300334,"5. Slightly conservative","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
300335,"3. Slightly liberal","3. Neither favor nor oppose","1. Male","1. Hillary Clinton","2. Oppose"
300336,"5. Slightly conservative","1. Favor","1. Male","1. Hillary Clinton","2. Oppose"
300342,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","3. Gary Johnson","3. Neither favor nor oppose"
300343,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300344,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300345,"4. Moderate, middle of the road","1. Favor","2. Female","2. Donald Trump","2. Oppose"
300360,"4. Moderate, middle of the road","2. Oppose","2. Female","2. Donald Trump","1. Favor"
300361,"4. Moderate, middle of the road","1. Favor","1. Male","3. Gary Johnson","2. Oppose"
300363,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
300364,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
300371,"1. Extremely liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
300376,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
300377,"6. Conservative","3. Neither favor nor oppose","1. Male","1. Hillary Clinton","2. Oppose"
300383,"6. Conservative","3. Neither favor nor oppose","2. Female","3. Gary Johnson","2. Oppose"
