"V160001","V161126","V161196","V161342","V162034a","V162148"
301891,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
301893,"1. Extremely liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
301894,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
301896,"4. Moderate, middle of the road","2. Oppose","1. Male","2. Donald Trump","3. Neither favor nor oppose"
301897,"4. Moderate, middle of the road","2. Oppose","2. Female","3. Gary Johnson","1. Favor"
301904,"5. Slightly conservative","2. Oppose","2. Female","3. Gary Johnson","2. Oppose"
301906,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
301909,"6. Conservative","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","2. Oppose"
301910,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
301914,"6. Conservative","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
301917,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
301918,"6. Conservative","2. Oppose","2. Female","2. Donald Trump","2. Oppose"
301921,"4. Moderate, middle of the road","2. Oppose","1. Male","2. Donald Trump","2. Oppose"
301930,"5. Slightly conservative","2. Oppose","1. Male","2. Donald Trump","1. Favor"
301932,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
301938,"5. Slightly conservative","2. Oppose","2. Female","2. Donald Trump","1. Favor"
301941,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
301944,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","1. Male","2. Donald Trump","1. Favor"
301946,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","2. Donald Trump","3. Neither favor nor oppose"
301947,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","2. Donald Trump","3. Neither favor nor oppose"
301950,"5. Slightly conservative","3. Neither favor nor oppose","1. Male","3. Gary Johnson","1. Favor"
301953,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","2. Donald Trump","2. Oppose"
301955,"6. Conservative","3. Neither favor nor oppose","2. Female","2. Donald Trump","1. Favor"
301956,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","1. Hillary Clinton","1. Favor"
301958,"4. Moderate, middle of the road","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","1. Favor"
301959,"1. Extremely liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
301967,"7. Extremely conservative","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","2. Oppose"
301968,"7. Extremely conservative","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","2. Oppose"
301969,"5. Slightly conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
301974,"5. Slightly conservative","2. Oppose","1. Male","2. Donald Trump","2. Oppose"
301977,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
301980,"5. Slightly conservative","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
301981,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
301982,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
301983,"4. Moderate, middle of the road","3. Neither favor nor oppose","2. Female","2. Donald Trump","1. Favor"
301984,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
301988,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","1. Male","2. Donald Trump","2. Oppose"
301999,"4. Moderate, middle of the road","2. Oppose","1. Male","2. Donald Trump","2. Oppose"
302007,"2. Liberal","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","1. Favor"
302009,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","2. Oppose"
302019,"6. Conservative","2. Oppose","1. Male","3. Gary Johnson","2. Oppose"
302029,"6. Conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
302032,"4. Moderate, middle of the road","1. Favor","2. Female","2. Donald Trump","1. Favor"
302034,"5. Slightly conservative","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
302040,"6. Conservative","2. Oppose","2. Female","2. Donald Trump","2. Oppose"
302047,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
302048,"5. Slightly conservative","3. Neither favor nor oppose","2. Female","2. Donald Trump","2. Oppose"
302050,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302052,"5. Slightly conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","1. Favor"
302053,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302054,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","1. Male","3. Gary Johnson","2. Oppose"
302070,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
302074,"5. Slightly conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
302076,"7. Extremely conservative","2. Oppose","1. Male","2. Donald Trump","2. Oppose"
302078,"4. Moderate, middle of the road","2. Oppose","1. Male","2. Donald Trump","1. Favor"
302080,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302083,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
302093,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","1. Male","2. Donald Trump","3. Neither favor nor oppose"
302097,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
302100,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302103,"1. Extremely liberal","1. Favor","1. Male","1. Hillary Clinton","2. Oppose"
302104,"5. Slightly conservative","2. Oppose","1. Male","2. Donald Trump","2. Oppose"
302106,"6. Conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
302117,"5. Slightly conservative","2. Oppose","1. Male","-9. Refused","2. Oppose"
302122,"1. Extremely liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302123,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","2. Oppose"
302126,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
302132,"6. Conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","3. Neither favor nor oppose"
302133,"6. Conservative","2. Oppose","2. Female","2. Donald Trump","3. Neither favor nor oppose"
302138,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302142,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","1. Male","2. Donald Trump","2. Oppose"
302143,"5. Slightly conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","3. Neither favor nor oppose"
302148,"3. Slightly liberal","1. Favor","1. Male","1. Hillary Clinton","2. Oppose"
302154,"5. Slightly conservative","2. Oppose","1. Male","2. Donald Trump","1. Favor"
302155,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302161,"5. Slightly conservative","1. Favor","2. Female","2. Donald Trump","1. Favor"
302164,"7. Extremely conservative","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
302166,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302169,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302171,"1. Extremely liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302172,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
302174,"6. Conservative","2. Oppose","1. Male","2. Donald Trump","2. Oppose"
302178,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
302186,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","3. Gary Johnson","3. Neither favor nor oppose"
302193,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302195,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302196,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","2. Oppose"
302197,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302198,"2. Liberal","2. Oppose","1. Male","4. Jill Stein","3. Neither favor nor oppose"
302206,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
302214,"4. Moderate, middle of the road","2. Oppose","2. Female","2. Donald Trump","3. Neither favor nor oppose"
302216,"5. Slightly conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
302219,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302220,"6. Conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
302223,"5. Slightly conservative","1. Favor","1. Male","2. Donald Trump","1. Favor"
302231,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","2. Donald Trump","3. Neither favor nor oppose"
302233,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
302234,"5. Slightly conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
302236,"6. Conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
302239,"4. Moderate, middle of the road","1. Favor","2. Female","3. Gary Johnson","2. Oppose"
302244,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","2. Donald Trump","2. Oppose"
302245,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
302246,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302254,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302261,"5. Slightly conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
302262,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
302265,"4. Moderate, middle of the road","1. Favor","1. Male","-9. Refused","2. Oppose"
302266,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
302269,"2. Liberal","3. Neither favor nor oppose","1. Male","1. Hillary Clinton","1. Favor"
302275,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","1. Male","2. Donald Trump","2. Oppose"
302283,"6. Conservative","3. Neither favor nor oppose","1. Male","-9. Refused","3. Neither favor nor oppose"
302286,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302290,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","2. Female","2. Donald Trump","1. Favor"
302291,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302299,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","1. Male","1. Hillary Clinton","2. Oppose"
302312,"5. Slightly conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
302313,"4. Moderate, middle of the road","1. Favor","1. Male","1. Hillary Clinton","1. Favor"
302328,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","1. Hillary Clinton","2. Oppose"
302333,"6. Conservative","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
302337,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","2. Oppose"
302344,"5. Slightly conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","3. Neither favor nor oppose"
302345,"5. Slightly conservative","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
302347,"7. Extremely conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
302358,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302364,"6. Conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
302365,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","2. Donald Trump","1. Favor"
302372,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302374,"1. Extremely liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
302380,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
302400,"4. Moderate, middle of the road","3. Neither favor nor oppose","1. Male","2. Donald Trump","1. Favor"
302402,"7. Extremely conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
302403,"7. Extremely conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
302404,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
302420,"4. Moderate, middle of the road","2. Oppose","2. Female","2. Donald Trump","3. Neither favor nor oppose"
302421,"6. Conservative","3. Neither favor nor oppose","2. Female","2. Donald Trump","2. Oppose"
302430,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302434,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302435,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
302443,"6. Conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","3. Neither favor nor oppose"
302447,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302450,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
302452,"6. Conservative","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
302456,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
302459,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","-9. Refused","1. Favor"
302461,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","2. Donald Trump","2. Oppose"
302463,"4. Moderate, middle of the road","3. Neither favor nor oppose","1. Male","2. Donald Trump","3. Neither favor nor oppose"
302465,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
302467,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","1. Male","1. Hillary Clinton","2. Oppose"
302470,"5. Slightly conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
302477,"6. Conservative","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
302480,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
302489,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302491,"5. Slightly conservative","2. Oppose","1. Male","2. Donald Trump","2. Oppose"
302492,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302494,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","1. Male","3. Gary Johnson","1. Favor"
302496,"3. Slightly liberal","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","1. Favor"
302506,"5. Slightly conservative","3. Neither favor nor oppose","2. Female","2. Donald Trump","2. Oppose"
302509,"1. Extremely liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302513,"4. Moderate, middle of the road","1. Favor","1. Male","2. Donald Trump","2. Oppose"
302516,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302522,"1. Extremely liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302526,"7. Extremely conservative","2. Oppose","2. Female","2. Donald Trump","3. Neither favor nor oppose"
302527,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
302529,"5. Slightly conservative","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
302540,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302542,"5. Slightly conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","2. Oppose"
302545,"5. Slightly conservative","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302557,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302558,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302559,"4. Moderate, middle of the road","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","1. Favor"
302562,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302564,"1. Extremely liberal","1. Favor","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
302569,"1. Extremely liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302574,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","-9. Refused","1. Favor"
302580,"3. Slightly liberal","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","1. Favor"
302581,"5. Slightly conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
302583,"7. Extremely conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
302584,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","2. Donald Trump","2. Oppose"
302585,"3. Slightly liberal","1. Favor","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
302587,"6. Conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","2. Oppose"
302593,"5. Slightly conservative","2. Oppose","2. Female","4. Jill Stein","1. Favor"
302595,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302602,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
302604,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
302606,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
302610,"7. Extremely conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","2. Oppose"
302613,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","1. Male","2. Donald Trump","1. Favor"
302614,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302615,"4. Moderate, middle of the road","3. Neither favor nor oppose","2. Female","2. Donald Trump","1. Favor"
302627,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
302639,"4. Moderate, middle of the road","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
302643,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
302645,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
302651,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
302653,"7. Extremely conservative","2. Oppose","1. Male","2. Donald Trump","2. Oppose"
302657,"5. Slightly conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","1. Favor"
302660,"5. Slightly conservative","2. Oppose","1. Male","4. Jill Stein","2. Oppose"
302667,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302669,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
302673,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
302678,"6. Conservative","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302679,"4. Moderate, middle of the road","3. Neither favor nor oppose","1. Male","2. Donald Trump","2. Oppose"
302684,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
302707,"7. Extremely conservative","3. Neither favor nor oppose","2. Female","2. Donald Trump","2. Oppose"
302710,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","3. Gary Johnson","3. Neither favor nor oppose"
302714,"6. Conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
302717,"6. Conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
302722,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302723,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","1. Male","2. Donald Trump","1. Favor"
302726,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
302730,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","2. Oppose"
302733,"5. Slightly conservative","2. Oppose","1. Male","3. Gary Johnson","2. Oppose"
302739,"5. Slightly conservative","2. Oppose","1. Male","3. Gary Johnson","2. Oppose"
302741,"4. Moderate, middle of the road","1. Favor","1. Male","-9. Refused","1. Favor"
302746,"5. Slightly conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
302752,"5. Slightly conservative","2. Oppose","1. Male","3. Gary Johnson","3. Neither favor nor oppose"
302754,"5. Slightly conservative","2. Oppose","2. Female","3. Gary Johnson","1. Favor"
302755,"2. Liberal","2. Oppose","1. Male","3. Gary Johnson","2. Oppose"
302757,"4. Moderate, middle of the road","2. Oppose","2. Female","2. Donald Trump","1. Favor"
302761,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
302764,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302765,"7. Extremely conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
302771,"5. Slightly conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","2. Oppose"
302774,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302779,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
302781,"5. Slightly conservative","1. Favor","2. Female","2. Donald Trump","1. Favor"
302785,"3. Slightly liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
302786,"6. Conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
302790,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","2. Donald Trump","2. Oppose"
302791,"5. Slightly conservative","2. Oppose","1. Male","2. Donald Trump","2. Oppose"
302793,"4. Moderate, middle of the road","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","1. Favor"
302800,"1. Extremely liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
302805,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","1. Male","1. Hillary Clinton","2. Oppose"
302809,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302810,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302815,"4. Moderate, middle of the road","1. Favor","1. Male","2. Donald Trump","1. Favor"
302816,"6. Conservative","3. Neither favor nor oppose","1. Male","2. Donald Trump","2. Oppose"
302821,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","2. Donald Trump","2. Oppose"
302836,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302840,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302841,"3. Slightly liberal","2. Oppose","1. Male","1. Hillary Clinton","2. Oppose"
302843,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
302850,"1. Extremely liberal","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
302851,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","1. Male","2. Donald Trump","1. Favor"
302861,"5. Slightly conservative","2. Oppose","1. Male","3. Gary Johnson","1. Favor"
302865,"1. Extremely liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
302866,"3. Slightly liberal","2. Oppose","2. Female","2. Donald Trump","3. Neither favor nor oppose"
302871,"4. Moderate, middle of the road","1. Favor","2. Female","2. Donald Trump","2. Oppose"
302873,"6. Conservative","2. Oppose","2. Female","2. Donald Trump","2. Oppose"
302876,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
302880,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
400002,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
400007,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
400009,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
400015,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","3. Neither favor nor oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
400016,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
400017,"6. Conservative","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
400018,"5. Slightly conservative","2. Oppose","2. Female","1. Hillary Clinton","2. Oppose"
400028,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
400033,"4. Moderate, middle of the road","1. Favor","1. Male","2. Donald Trump","1. Favor"
400035,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
400039,"6. Conservative","1. Favor","2. Female","2. Donald Trump","2. Oppose"
400041,"3. Slightly liberal","1. Favor","2. Female","2. Donald Trump","3. Neither favor nor oppose"
400044,"5. Slightly conservative","2. Oppose","1. Male","2. Donald Trump","1. Favor"
400052,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
400054,"6. Conservative","3. Neither favor nor oppose","2. Female","2. Donald Trump","1. Favor"
400055,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
400056,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","1. Favor"
400059,"2. Liberal","2. Oppose","1. Male","1. Hillary Clinton","2. Oppose"
400075,"2. Liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
400076,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
400080,"6. Conservative","1. Favor","1. Male","2. Donald Trump","3. Neither favor nor oppose"
400089,"5. Slightly conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
400093,"4. Moderate, middle of the road","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","1. Favor"
400098,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
400099,"4. Moderate, middle of the road","2. Oppose","1. Male","1. Hillary Clinton","3. Neither favor nor oppose"
400102,"6. Conservative","1. Favor","1. Male","2. Donald Trump","2. Oppose"
400109,"4. Moderate, middle of the road","2. Oppose","2. Female","4. Jill Stein","3. Neither favor nor oppose"
400112,"4. Moderate, middle of the road","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
400113,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","1. Favor","1. Male","3. Gary Johnson","1. Favor"
400126,"4. Moderate, middle of the road","3. Neither favor nor oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
400131,"99. Haven't thought much about this (FTF ONLY: DO NOT PROBE)","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
400132,"-9. Refused","1. Favor","2. Female","1. Hillary Clinton","2. Oppose"
400144,"1. Extremely liberal","2. Oppose","2. Female","1. Hillary Clinton","1. Favor"
400147,"4. Moderate, middle of the road","2. Oppose","2. Female","1. Hillary Clinton","3. Neither favor nor oppose"
